,status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
143,Processed,4.528,72.7576,19.952,126.0472,FL-1102179,EU020M,Italy,ITA,1102179,Green,1,2023-08-13T01:00:00,2023-08-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102179&episodeid=4,https://www.gdacs.org/report.aspx?eventid=1102179&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102179,"{'type': 'Point', 'coordinates': [6.858975, 44.9404829]}"
144,Processed,0.4524,3.6332,0.7752,29.9804,FL-1102184,EU020M,Germany,DEU,1102184,Green,1,2023-08-15T01:00:00,2023-08-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102184&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102184&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102184,"{'type': 'Point', 'coordinates': [7.52435320757235, 51.03461315]}"
145,Processed,43.7252,39.8616,51.906,72.9168,FL-1102167,EU020M,Austria,AUT,1102167,Green,1,2023-08-03T01:00:00,2023-08-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102167&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102167&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102167,"{'type': 'Point', 'coordinates': [10.7348684537834, 46.9470059]}"
146,Processed,1.87,16.6412,9.3536,29.0708,FL-1102210,EU020M,France,FRA,1102210,Green,1,2023-09-12T01:00:00,2023-09-18T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102210&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102210&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102210,"{'type': 'Point', 'coordinates': [3.7329918, 43.7914507]}"
147,Processed,53.3328,43.4736,73.5284,94.5928,FL-1102306,EU020M,France,FRA,1102306,Green,1,2023-11-01T01:00:00,2023-11-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102306&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1102306&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102306,"{'type': 'Point', 'coordinates': [2.258007849774, 50.5144061]}"
148,Processed,7.41,38.5312,9.1048,35.6552,FL-1102301,EU020M,Italy,ITA,1102301,Green,1,2023-10-30T01:00:00,2023-11-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102301&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102301&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102301,"{'type': 'Point', 'coordinates': [10.896283, 43.8163799]}"
149,Processed,0.9488,7.6296,3.2192,21.3472,FL-1102304,EU020M,Austria,AUT,1102304,Green,1,2023-10-30T01:00:00,2023-10-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102304&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102304&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102304,"{'type': 'Point', 'coordinates': [11.4798884, 47.0380876]}"
150,Processed,3.874,151.9884,1.4484,47.0868,FL-1102277,EU020M,Italy,ITA,1102277,Green,1,2023-10-16T01:00:00,2023-10-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102277&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1102277&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102277,"{'type': 'Point', 'coordinates': [9.158863, 44.349247]}"
151,Processed,10.1984,25.6908,15.8316,30.2252,FL-1102290,EU020M,Germany,DEU,1102290,Green,1,2023-10-20T01:00:00,2023-10-22T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102290&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102290&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102290,"{'type': 'Point', 'coordinates': [9.9327513, 54.63008]}"
152,Processed,16.2704,67.018,23.516,31.6036,FL-1102388,EU020M,Italy,ITA,1102388,Green,1,2023-12-01T01:00:00,2023-12-15T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102388&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102388&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102388,"{'type': 'Point', 'coordinates': [11.0965311, 43.9804499]}"
