status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,ensemble_daily_extent,tuw_daily_extent,list_daily_extent,dlr_daily_extent
Processed,45.7636,372.6476,150.98,9997.8424,FL-1102025,AF020M,Algeria,DZA,1102025,Green,1,2023-05-24T01:00:00,2023-06-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102025&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102025&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102025,"{'type': 'Point', 'coordinates': [2.1757086, 34.4735384]}",47.397999999999996,461.4776,150.98,10070.431199999999
Processed,13.1208,64.7612,40.762,584.4732,FL-1102039,AS020M,India,IND,1102039,Green,1,2023-06-01T01:00:00,2023-06-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102039&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102039&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102039,"{'type': 'Point', 'coordinates': [80.6672699897008, 30.15969515]}",13.1208,64.7612,40.762,584.4732
Processed,2.066,2865.7744,13.9428,10.242,FL-1102043,NA020M,Haiti,HTI,1102043,Green,1,2023-05-30T01:00:00,2023-06-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102043&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102043&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102043,"{'type': 'Point', 'coordinates': [-72.3356015, 18.5782768]}",2.066,2865.7744,13.9428,10.242
Processed,45.1232,53.71,124.9496,6571.3796,FL-1102042,AS020M,Pakistan,PAK,1102042,Green,1,2023-05-30T01:00:00,2023-06-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102042&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102042&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102042,"{'type': 'Point', 'coordinates': [68.3068896, 25.3635325]}",45.1232,53.71,124.9496,6571.3796
Processed,0.0468,6.9196,0.0236,8.37,FL-1102034,SA020M,Venezuela,VEN,1102034,Green,1,2023-05-30T01:00:00,2023-06-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102034&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102034&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102034,"{'type': 'Point', 'coordinates': [-68.0003987, 10.170026]}",0.0468,6.9196,0.0236,8.37
Processed,38.21,30.7288,52.8576,54.912,FL-1102035,EU020M,Bulgaria,BGR,1102035,Green,1,2023-05-30T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102035&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102035&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102035,"{'type': 'Point', 'coordinates': [25.24073, 43.57785]}",38.21,30.7288,52.8576,54.912
Processed,35.6752,243.5584,50.2132,4612.7144,FL-1102037,AF020M,Saudi Arabia,SAU,1102037,Green,1,2023-05-29T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102037&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102037&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102037,"{'type': 'Point', 'coordinates': [39.6705285, 29.667363]}",36.983599999999996,243.5584,50.2132,5314.129199999999
Processed,4.9104,118.894,74.4496,227.1088,FL-1102038,AF020M,Guinea,GIN,1102038,Green,1,2023-05-17T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102038&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102038&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102038,"{'type': 'Point', 'coordinates': [-13.6998434, 9.5170602]}",5.194,124.08600000000001,75.41000000000001,238.8392
Processed,30.3084,243.5584,50.2132,701.4148,FL-1102033,AF020M,Jordan,JOR,1102033,Green,1,2023-05-29T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102033&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102033&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102033,"{'type': 'Point', 'coordinates': [35.8503849, 32.1960256]}",30.3084,243.5584,50.2132,701.4148
Processed,0.1076,4.8064,0.4048,8.3364,FL-1102040,OC020M,Indonesia,IDN,1102040,Green,1,2023-05-29T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102040&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102040&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102040,"{'type': 'Point', 'coordinates': [119.95993110541, -0.23836055]}",0.1076,4.8064,0.4048,8.3364
